Roll_No,Name,Result,Attendance,Assignment_Score,Project_Marks
635,Aman Singh,58.0,72.41,3,29
636,Raj Singh,79.0,88.67,20,19
637,Aditya Singh,80.0,75.72,19,17
638,Aditya Sharma,99.0,52.32,10,8
639,Meena Patel,56.0,67.17,2,18
640,Sahil Sharma,68.0,90.49,17,20
641,Rahul Yadav,82.0,80.65,0,19
642,Ankit Patel,69.0,66.1,8,24
643,Prince Gupta,59.0,66.19,0,15
644,Prince Singh,86.0,61.25,3,20
645,Prince Verma,55.0,63.26,1,5
646,Krishna Yadav,58.0,63.06,13,29
647,Kunal Singh,68.0,60.42,17,27
648,Krishna Patel,43.0,98.36,18,27
649,Shichan Yadav,83.0,51.6,12,3
650,Rohit Sharma,79.0,94.75,4,2
651,Sartak Singh,,96.07,5,27
652,Prince Singh,93.0,93.53,17,21
653,Nobita Sharma,69.0,65.46,4,13
654,Prince Gupta,,85.97,6,5
655,Ankit Patel,55.0,52.85,7,27
656,Rohit Patel,77.0,60.83,13,25
657,Simran Singh,54.0,66.93,15,6
658,Karan Singh,77.0,68.38,9,20
659,Harsh Sharma,,77.26,5,19
660,Lalit Sharma,88.0,68.55,20,30
661,Aditya Yadav,68.0,57.7,10,14
662,Rohit Patel,75.0,64.93,19,2
663,Raj Verma,61.0,79.58,3,13
664,Ritika Patel,79.0,54.54,1,21
665,Sneha Patel,92.0,61.0,12,5
666,Vivek Yadav,67.0,85.44,0,8
667,Rahul Yadav,53.0,70.56,15,28
668,Meena Verma,59.0,79.19,2,13
669,Shichan Singh,56.0,52.17,9,30
670,Akash Patel,91.0,92.73,17,19
671,Anjali Verma,40.0,66.51,7,20
672,Anjali Gupta,76.0,74.31,0,10
673,Raj Gupta,100.0,56.09,18,9
674,Anjali Sharma,75.0,96.59,7,6
675,Kunal Yadav,61.0,82.41,8,3
676,Meena Gupta,,90.19,1,11
677,Priya Gupta,61.0,61.26,20,14
678,Sneha Yadav,97.0,66.52,20,26
679,Kunal Singh,,57.5,11,21
680,Priya Yadav,64.0,50.46,14,2
681,Shichan Patel,47.0,71.64,13,25
682,Raj Singh,64.0,85.88,0,25
683,Rahul Singh,83.0,96.89,16,9
684,Akash Yadav,81.0,68.82,2,25
685,Akash Yadav,94.0,62.06,2,24
686,Raj Sharma,47.0,99.47,0,24
687,Anjali Yadav,61.0,96.21,18,1
688,Sneha Sharma,62.0,64.63,9,6
689,Aditya Singh,,69.92,10,2
690,Sneha Verma,87.0,95.42,11,24
691,Priya Yadav,83.0,60.31,10,18
692,Ritika Patel,41.0,51.59,5,24
693,Ankit Yadav,48.0,52.86,1,18
694,Lalit Gupta,55.0,67.78,1,21
695,Anjali Yadav,84.0,63.03,3,2
696,Lalit Gupta,70.0,58.37,2,3
697,Aman Yadav,77.0,51.75,9,27
698,Aman Patel,82.0,83.97,9,6
699,Anjali Singh,89.0,52.28,14,5
700,Nobita Patel,65.0,66.8,8,10
701,Kavita Singh,89.0,68.83,6,22
702,Rahul Sharma,99.0,76.55,15,23
703,Nobita Verma,84.0,74.5,12,15
704,Lalit Gupta,56.0,50.73,8,8
705,Aditya Gupta,58.0,91.83,15,2
706,Akash Singh,62.0,93.26,8,7
707,Akash Patel,95.0,96.07,5,15
708,Prince Singh,55.0,81.03,18,7
709,Aditya Verma,54.0,67.39,0,18
710,Lalit Gupta,42.0,54.77,10,16
711,Anjali Patel,70.0,78.48,7,16
712,Harsh Yadav,52.0,70.47,17,23
713,Nobita Patel,98.0,90.35,19,30
714,Sartak Patel,47.0,92.38,4,8
715,Karan Gupta,70.0,76.93,2,26
716,Karan Gupta,68.0,90.61,13,13
717,Simran Sharma,99.0,52.22,7,7
718,Priya Singh,71.0,56.65,6,24
719,Akash Patel,60.0,68.11,12,23
720,Kunal Gupta,80.0,53.18,18,28
721,Ankit Yadav,80.0,60.66,18,1
722,Ritika Patel,98.0,59.62,13,15
723,Aman Singh,83.0,86.94,5,26
724,Prince Gupta,63.0,57.36,8,10
725,Harsh Patel,90.0,59.82,18,26
726,Prince Gupta,76.0,72.08,20,18
727,Simran Singh,88.0,52.87,7,28
728,Simran Verma,56.0,67.2,11,14
729,Harsh Yadav,95.0,87.79,19,22
730,Ankit Gupta,82.0,50.59,10,11
731,Sahil Gupta,85.0,80.67,15,22
732,Sartak Patel,,93.58,14,15
733,Simran Patel,65.0,73.83,11,16
734,Lalit Sharma,40.0,69.63,4,10
735,Priya Patel,92.0,60.63,10,18
736,Raj Yadav,90.0,78.32,0,11
737,Akash Yadav,71.0,89.78,3,17
738,Kunal Gupta,58.0,53.1,17,8
739,Raj Gupta,76.0,98.38,11,1
740,Akash Verma,96.0,83.09,1,23
741,Sahil Verma,,79.79,20,17
742,Sahil Singh,79.0,56.47,19,7
743,Krishna Singh,74.0,86.01,5,20
744,Lalit Singh,73.0,97.77,14,7
745,Nobita Verma,100.0,72.17,20,26
746,Nobita Gupta,89.0,75.93,11,23
747,Meena Verma,69.0,70.95,17,8
748,Krishna Patel,67.0,83.28,9,4
749,Rohit Patel,92.0,68.7,17,25
750,Ankit Patel,83.0,71.77,18,27
751,Akash Sharma,82.0,82.49,2,30
752,Simran Verma,75.0,59.52,2,19
753,Simran Verma,100.0,65.77,7,22
754,Karan Sharma,81.0,51.24,14,12
755,Harsh Sharma,88.0,85.09,9,27
756,Aman Gupta,71.0,72.19,17,14
757,Karan Yadav,,68.74,3,1
758,Harsh Yadav,90.0,71.29,9,8
759,Nobita Yadav,85.0,90.59,3,17
760,Sneha Patel,64.0,54.76,19,26
761,Kunal Sharma,92.0,84.72,16,2
762,Kunal Singh,58.0,69.26,11,4
763,Ankit Singh,44.0,69.43,9,3
764,Prince Yadav,67.0,96.07,9,25
765,Kavita Sharma,62.0,61.58,12,26
766,Rohit Sharma,96.0,77.98,6,28
767,Anjali Sharma,68.0,64.4,11,25
768,Sneha Gupta,54.0,76.44,20,17
769,Prince Singh,44.0,51.43,2,2
770,Vivek Gupta,52.0,62.3,17,4
771,Shichan Sharma,60.0,90.98,13,1
772,Aditya Patel,43.0,75.21,7,20
773,Sartak Verma,62.0,63.87,17,9
774,Akash Singh,81.0,50.2,15,10
775,Sahil Gupta,62.0,63.06,8,15
776,Prince Singh,77.0,73.16,1,25
777,Shichan Singh,47.0,99.98,14,29
778,Aditya Yadav,53.0,71.79,20,22
779,Priya Patel,69.0,54.42,14,22
780,Kunal Yadav,70.0,50.02,8,23
781,Raj Verma,44.0,50.09,11,24
782,Sartak Patel,41.0,89.74,9,24
783,Akash Gupta,42.0,70.05,18,10
784,Sahil Gupta,51.0,75.81,8,30
785,Aditya Singh,69.0,74.46,1,22
786,Anjali Gupta,53.0,81.79,19,19
787,Karan Sharma,66.0,89.44,9,29
788,Karan Verma,52.0,85.89,15,8
789,Kavita Gupta,73.0,99.53,10,8
790,Sneha Singh,46.0,64.42,12,15
791,Ankit Gupta,78.0,97.06,7,27
792,Shichan Sharma,91.0,70.58,16,28
793,Ankit Verma,68.0,74.8,2,13
794,Aditya Gupta,63.0,58.37,16,26
795,Meena Verma,89.0,57.17,7,0
796,Ritika Yadav,92.0,68.57,0,23
797,Akash Patel,95.0,97.0,1,0
798,Akash Yadav,96.0,65.08,14,11
799,Rohit Yadav,77.0,90.03,16,23
800,Akash Verma,90.0,64.61,17,15
801,Shichan Sharma,65.0,86.14,8,0
802,Akash Singh,,67.08,14,28
803,Sahil Singh,42.0,62.0,15,3
804,Aman Yadav,50.0,64.86,16,19
805,Rahul Sharma,62.0,52.27,20,23
806,Lalit Patel,57.0,93.22,17,21
807,Harsh Singh,,68.41,14,20
808,Vivek Patel,51.0,73.6,13,27
809,Sahil Yadav,51.0,92.14,5,24
810,Aditya Gupta,86.0,74.16,1,20
811,Ritika Yadav,84.0,55.06,19,8
812,Nobita Singh,57.0,91.4,14,4
813,Aman Gupta,82.0,82.69,8,3
814,Meena Gupta,89.0,54.6,16,1
815,Nobita Yadav,44.0,99.44,18,8
816,Meena Yadav,91.0,55.08,13,30
817,Lalit Yadav,63.0,74.18,8,5
818,Sartak Patel,95.0,66.76,16,15
819,Kavita Verma,,66.47,13,25
820,Kunal Verma,100.0,86.92,11,28
821,Aditya Verma,71.0,72.83,15,18
822,Kavita Sharma,60.0,72.71,9,27
823,Sahil Patel,76.0,88.15,8,7
824,Nobita Gupta,93.0,73.33,5,7
825,Shichan Sharma,66.0,61.71,20,16
826,Lalit Gupta,53.0,70.38,13,8
827,Nobita Sharma,44.0,76.74,9,0
828,Kavita Patel,49.0,72.69,1,16
829,Shichan Sharma,55.0,86.79,5,29
830,Akash Singh,92.0,95.33,7,0
831,Rahul Sharma,75.0,84.14,2,20
832,Meena Gupta,87.0,97.12,11,23
833,Sartak Patel,44.0,68.72,5,8
834,Raj Gupta,88.0,58.19,12,21
835,Prince Sharma,,65.07,5,1
836,Sneha Verma,91.0,58.29,17,25
837,Kavita Sharma,43.0,73.4,13,27
838,Nobita Gupta,51.0,67.68,13,8
839,Kunal Gupta,54.0,69.73,7,3
840,Sartak Verma,80.0,93.91,7,9
841,Ritika Patel,53.0,70.01,12,14
842,Shichan Yadav,54.0,96.81,0,29
843,Lalit Gupta,43.0,94.4,2,0
844,Krishna Yadav,41.0,94.83,10,0
845,Priya Yadav,59.0,52.6,13,14
846,Prince Verma,92.0,94.76,1,17
847,Kavita Singh,56.0,74.99,15,6
848,Sneha Singh,92.0,82.91,12,11
849,Akash Yadav,91.0,54.6,2,3
850,Sahil Singh,79.0,85.51,17,16
851,Lalit Gupta,55.0,97.47,7,2
852,Meena Gupta,52.0,99.68,9,13
853,Aditya Gupta,75.0,80.09,3,15
854,Raj Patel,99.0,50.43,8,29
855,Sneha Patel,75.0,56.69,5,28
856,Harsh Sharma,45.0,60.8,13,6
857,Sahil Yadav,93.0,95.44,1,0
858,Rahul Yadav,71.0,65.81,16,21
859,Sahil Sharma,98.0,64.47,1,16
860,Kavita Singh,53.0,98.3,2,2
861,Harsh Singh,62.0,67.54,19,21
862,Krishna Singh,69.0,71.61,9,20
863,Sneha Sharma,56.0,67.72,4,21
864,Akash Yadav,84.0,59.74,1,25
865,Sahil Verma,89.0,95.08,6,12
866,Aman Verma,42.0,91.47,10,17
867,Krishna Gupta,50.0,93.61,0,24
868,Akash Patel,80.0,83.63,13,30
869,Akash Verma,49.0,65.61,7,24
870,Raj Singh,64.0,51.65,6,30
871,Sneha Verma,41.0,74.18,20,6
872,Prince Sharma,51.0,65.11,11,16
873,Akash Yadav,68.0,97.41,1,2
874,Karan Patel,51.0,90.5,1,23
875,Kavita Gupta,80.0,51.06,18,17
876,Anjali Patel,44.0,90.73,2,26
877,Sartak Patel,91.0,89.36,16,21
878,Shichan Verma,83.0,81.17,18,8
879,Kunal Yadav,,58.56,16,26
880,Karan Sharma,,83.2,7,21
881,Sneha Gupta,66.0,53.12,15,30
882,Rohit Verma,98.0,58.98,3,25
883,Harsh Singh,,60.75,1,23
884,Priya Gupta,47.0,56.3,12,0
885,Sneha Patel,53.0,61.12,9,17
886,Akash Patel,65.0,93.34,18,20
887,Sahil Singh,,58.06,19,11
888,Nobita Sharma,96.0,53.3,13,4
889,Shichan Singh,97.0,78.26,16,28
890,Harsh Verma,92.0,96.64,19,23
891,Anjali Sharma,67.0,80.97,7,3
892,Kunal Verma,86.0,83.15,7,21
893,Kavita Verma,76.0,93.79,18,13
894,Harsh Gupta,,77.53,14,11
895,Shichan Singh,87.0,67.59,8,16
896,Sahil Singh,52.0,58.87,17,10
897,Aman Singh,87.0,87.6,16,2
898,Harsh Patel,82.0,62.37,10,19
899,Karan Gupta,73.0,72.58,2,2
900,Aman Gupta,,89.31,11,3
901,Nobita Verma,93.0,75.4,2,2
902,Kunal Yadav,42.0,96.83,3,27
903,Krishna Singh,76.0,68.41,18,19
904,Simran Gupta,43.0,63.05,20,20
905,Lalit Yadav,78.0,52.02,14,26
906,Ritika Verma,84.0,54.61,6,4
907,Lalit Singh,77.0,54.06,17,5
908,Akash Sharma,95.0,97.68,14,12
909,Sartak Sharma,95.0,83.49,9,30
910,Lalit Yadav,64.0,76.48,5,5
911,Krishna Sharma,85.0,61.17,2,16
912,Shichan Patel,81.0,76.9,2,10
913,Sneha Patel,56.0,73.2,4,22
914,Ritika Verma,42.0,55.27,7,6
915,Kunal Yadav,97.0,87.16,11,24
916,Akash Patel,52.0,99.2,13,24
917,Ankit Singh,96.0,94.52,12,24
918,Kunal Gupta,80.0,67.46,16,19
919,Akash Yadav,56.0,52.11,13,1
920,Akash Sharma,88.0,82.06,10,26
921,Sartak Gupta,95.0,80.07,20,4
922,Sneha Sharma,70.0,88.33,0,22
923,Harsh Yadav,,73.49,20,30
924,Simran Gupta,,85.71,8,3
925,Anjali Sharma,73.0,86.11,17,21
926,Karan Sharma,81.0,51.32,7,16
927,Rohit Yadav,91.0,68.72,10,6
928,Harsh Patel,46.0,84.09,7,18
929,Harsh Sharma,,77.86,1,7
930,Anjali Yadav,56.0,55.57,18,29
931,Harsh Verma,55.0,80.12,0,17
932,Kavita Sharma,47.0,74.8,8,3
933,Prince Gupta,99.0,86.85,20,2
934,Kavita Singh,53.0,85.38,14,30
935,Karan Patel,88.0,50.33,16,10
936,Kunal Patel,96.0,62.76,3,23
937,Kavita Gupta,64.0,99.22,13,28
938,Karan Yadav,90.0,67.5,9,0
939,Karan Singh,,68.51,17,14
940,Harsh Sharma,49.0,59.12,15,11
941,Anjali Singh,76.0,88.56,14,20
942,Aditya Patel,53.0,73.09,9,12
943,Lalit Sharma,43.0,87.14,14,10
944,Sneha Gupta,93.0,63.78,14,28
945,Sneha Verma,54.0,52.82,8,13
946,Ritika Gupta,,82.05,1,9
947,Karan Sharma,41.0,52.27,16,13
948,Karan Gupta,57.0,93.33,13,3
949,Raj Gupta,79.0,71.09,18,3
950,Sneha Gupta,66.0,83.11,5,7
951,Akash Singh,77.0,73.76,1,13
952,Meena Patel,,88.01,12,30
953,Prince Yadav,81.0,98.45,20,20
954,Sneha Yadav,43.0,79.52,9,26
955,Meena Singh,73.0,62.21,16,13
956,Akash Verma,68.0,55.07,17,4
957,Harsh Gupta,69.0,52.63,11,8
958,Harsh Sharma,48.0,81.14,10,12
959,Krishna Sharma,63.0,59.38,13,0
960,Aditya Singh,97.0,79.48,6,0
961,Anjali Verma,67.0,97.35,17,20
962,Priya Sharma,48.0,56.35,13,9
963,Rahul Verma,77.0,68.07,17,1
964,Sahil Singh,53.0,80.36,18,29
965,Anjali Gupta,66.0,72.2,11,22
966,Rahul Yadav,71.0,50.41,18,30
967,Aditya Singh,76.0,62.13,4,14
968,Vivek Verma,72.0,56.28,16,24
969,Sartak Gupta,60.0,81.18,1,8
970,Prince Gupta,92.0,61.28,4,4
971,Shichan Patel,86.0,62.88,5,30
972,Simran Singh,64.0,88.31,19,6
973,Karan Singh,80.0,77.93,10,20
974,Sartak Yadav,47.0,53.53,5,19
975,Vivek Verma,42.0,86.83,18,2
976,Lalit Verma,84.0,57.48,20,21
977,Anjali Singh,40.0,80.7,7,5
978,Shichan Sharma,,99.76,18,0
979,Harsh Singh,92.0,93.05,5,30
980,Aditya Verma,84.0,79.82,15,22
981,Karan Patel,94.0,56.73,6,28
982,Vivek Singh,72.0,66.43,10,6
983,Rohit Gupta,64.0,92.71,16,8
984,Nobita Sharma,76.0,91.49,11,1
985,Sahil Singh,56.0,94.17,3,24
986,Kavita Singh,46.0,92.64,11,30
987,Akash Verma,83.0,64.91,18,7
988,Sartak Singh,98.0,96.76,14,14
989,Harsh Yadav,41.0,90.15,20,21
990,Sahil Sharma,67.0,86.8,6,22
991,Vivek Gupta,62.0,77.29,3,6
992,Krishna Patel,88.0,73.95,18,25
993,Akash Sharma,74.0,73.06,8,28
994,Priya Yadav,52.0,69.83,17,28
995,Ankit Singh,47.0,67.59,10,6
996,Lalit Gupta,,92.34,8,30
997,Simran Sharma,79.0,94.62,18,7
998,Krishna Patel,,63.93,16,18
999,Aditya Patel,85.0,92.51,2,5
1000,Lalit Sharma,51.0,94.78,0,4
1001,Nobita Singh,,91.49,1,29
1002,Ritika Yadav,80.0,82.52,10,6
1003,Harsh Sharma,99.0,78.35,19,23
1004,Ritika Patel,71.0,90.3,12,30
1005,Akash Gupta,89.0,66.97,7,27
1006,Rohit Singh,46.0,85.07,4,14
1007,Aditya Yadav,86.0,94.63,19,16
1008,Lalit Singh,47.0,99.7,10,28
1009,Krishna Yadav,78.0,71.54,12,27
1010,Raj Yadav,73.0,74.36,0,15
1011,Anjali Yadav,40.0,84.12,20,13
1012,Nobita Yadav,,60.1,20,4
1013,Akash Sharma,90.0,93.36,5,22
1014,Sartak Sharma,54.0,83.19,17,28
1015,Priya Patel,58.0,70.68,12,9
1016,Sahil Sharma,48.0,82.59,7,27
1017,Aman Verma,51.0,86.52,15,11
1018,Aman Singh,53.0,79.19,17,29
1019,Harsh Verma,44.0,57.45,2,26
1020,Karan Sharma,54.0,89.85,14,7
1021,Raj Gupta,68.0,80.29,8,5
1022,Anjali Singh,87.0,50.33,14,13
1023,Nobita Verma,92.0,95.09,13,15
1024,Harsh Verma,49.0,75.94,1,23
1025,Rohit Gupta,42.0,99.97,0,12
1026,Rahul Sharma,89.0,82.16,3,5
1027,Krishna Verma,88.0,51.7,16,21
1028,Rahul Verma,42.0,73.53,5,13
1029,Kavita Yadav,,90.19,12,24
1030,Rohit Sharma,99.0,98.85,5,20
1031,Simran Verma,82.0,66.2,3,12
1032,Krishna Gupta,81.0,50.89,14,25
1033,Meena Patel,56.0,70.64,20,19
1034,Rohit Gupta,98.0,91.48,6,25
1035,Nobita Singh,85.0,70.13,8,15
1036,Ritika Verma,44.0,86.32,9,10
1037,Kavita Singh,58.0,63.67,12,18
1038,Nobita Verma,51.0,53.06,11,22
1039,Ankit Gupta,99.0,51.91,5,3
1040,Sahil Sharma,86.0,84.86,1,27
1041,Nobita Sharma,51.0,84.8,1,0
1042,Sneha Gupta,48.0,99.29,9,29
1043,Nobita Patel,60.0,90.26,15,29
1044,Kunal Patel,86.0,76.69,8,4
1045,Rohit Sharma,85.0,94.46,17,10
1046,Meena Yadav,48.0,54.02,7,11
1047,Rahul Patel,98.0,80.8,8,14
1048,Sahil Singh,44.0,73.01,5,4
1049,Sartak Patel,78.0,85.87,15,18
1050,Sartak Verma,77.0,51.92,2,4
1051,Meena Singh,66.0,99.37,16,20
1052,Priya Patel,69.0,81.34,14,18
1053,Lalit Yadav,94.0,81.02,0,6
1054,Lalit Verma,74.0,99.6,10,17
1055,Priya Yadav,80.0,75.08,16,15
1056,Prince Sharma,56.0,57.49,7,8
1057,Shichan Sharma,62.0,65.62,3,18
1058,Lalit Gupta,,75.28,15,8
1059,Vivek Verma,72.0,51.29,9,5
1060,Meena Singh,59.0,69.64,2,9
1061,Lalit Sharma,51.0,70.28,4,9
1062,Kavita Patel,90.0,87.96,13,1
1063,Rohit Singh,93.0,64.5,13,9
1064,Ritika Verma,82.0,68.25,19,24
1065,Harsh Sharma,89.0,70.06,13,2
1066,Akash Sharma,52.0,96.17,9,30
1067,Meena Singh,92.0,67.94,18,18
1068,Rohit Sharma,,93.12,16,12
1069,Karan Gupta,89.0,73.49,2,19
1070,Rohit Singh,40.0,72.61,0,22
1071,Ritika Patel,,80.72,2,29
1072,Krishna Gupta,53.0,82.84,7,9
1073,Karan Singh,73.0,94.37,20,29
1074,Kunal Yadav,72.0,67.7,14,26
1075,Aman Gupta,72.0,65.4,16,0
1076,Meena Singh,43.0,92.07,20,14
1077,Nobita Verma,72.0,92.63,7,16
1078,Karan Gupta,42.0,69.68,16,14
1079,Lalit Yadav,73.0,65.71,1,29
1080,Simran Yadav,48.0,68.51,5,18
1081,Ankit Gupta,50.0,79.04,17,21
1082,Ritika Yadav,70.0,86.5,18,19
1083,Prince Yadav,,95.97,6,8
1084,Krishna Singh,69.0,77.64,2,4
1085,Sneha Verma,65.0,72.02,1,14
1086,Kavita Gupta,69.0,85.17,5,20
1087,Lalit Gupta,91.0,81.8,8,15
1088,Ankit Singh,47.0,96.62,12,16
1089,Nobita Singh,72.0,63.32,13,21
1090,Aditya Singh,48.0,68.91,18,28
1091,Sahil Gupta,63.0,78.52,16,4
1092,Anjali Verma,88.0,77.87,9,19
1093,Priya Sharma,64.0,67.62,2,4
1094,Priya Sharma,67.0,98.74,2,5
1095,Meena Yadav,48.0,63.43,6,2
1096,Akash Verma,91.0,85.65,13,10
1097,Karan Verma,42.0,71.75,7,24
1098,Simran Singh,50.0,85.98,13,2
1099,Rahul Sharma,58.0,80.14,19,12
1100,Simran Verma,82.0,89.42,1,15
1101,Meena Gupta,45.0,81.74,3,10
1102,Rahul Yadav,84.0,74.8,18,15
1103,Nobita Patel,68.0,93.03,10,15
1104,Lalit Sharma,45.0,75.66,17,2
1105,Shichan Gupta,54.0,50.78,3,21
1106,Nobita Gupta,40.0,83.71,6,7
1107,Sartak Gupta,42.0,88.34,7,3
1108,Priya Sharma,58.0,92.72,8,11
1109,Harsh Verma,60.0,60.36,10,0
1110,Shichan Sharma,48.0,85.13,15,30
1111,Rohit Gupta,60.0,60.35,0,17
1112,Krishna Singh,,55.22,9,24
1113,Rohit Yadav,92.0,91.48,9,0
1114,Raj Sharma,71.0,72.81,15,14
1115,Karan Sharma,98.0,62.05,3,24
1116,Rohit Singh,93.0,64.52,4,26
1117,Aditya Singh,53.0,97.15,13,23
1118,Meena Patel,74.0,89.87,12,14
1119,Krishna Yadav,54.0,53.43,20,18
1120,Rohit Verma,55.0,88.22,14,29
1121,Rohit Gupta,60.0,61.59,2,5
1122,Priya Sharma,51.0,55.38,13,4
1123,Sahil Patel,45.0,57.46,13,30
1124,Anjali Verma,48.0,97.8,15,23
1125,Sneha Yadav,78.0,70.19,17,4
1126,Raj Gupta,44.0,91.86,3,7
1127,Akash Verma,100.0,64.39,9,6
1128,Sartak Singh,71.0,93.4,16,30
1129,Vivek Gupta,86.0,85.95,20,13
1130,Ankit Gupta,67.0,52.15,0,0
1131,Anjali Singh,63.0,97.14,14,28
1132,Anjali Sharma,48.0,70.1,0,2
1133,Rahul Verma,52.0,59.57,2,3
1134,Kavita Gupta,87.0,74.56,13,29
1135,Akash Yadav,72.0,69.5,13,24
1136,Lalit Patel,83.0,54.54,6,17
1137,Simran Gupta,84.0,93.43,18,3
1138,Rahul Verma,88.0,63.0,18,3
1139,Meena Gupta,51.0,94.98,9,20
1140,Karan Sharma,66.0,69.61,14,29
1141,Ritika Gupta,78.0,79.14,12,7
1142,Nobita Patel,77.0,78.82,0,9
1143,Sartak Patel,98.0,56.59,20,13
1144,Krishna Patel,72.0,63.62,11,17
1145,Akash Patel,58.0,63.54,2,27
1146,Ritika Singh,87.0,52.92,14,19
1147,Rohit Yadav,,56.49,12,8
1148,Ritika Verma,89.0,66.75,12,12
1149,Ankit Verma,54.0,60.36,4,5
1150,Kunal Patel,43.0,70.59,1,22
1151,Vivek Verma,78.0,91.62,9,22
1152,Raj Gupta,91.0,69.48,14,10
1153,Ritika Singh,86.0,75.15,14,15
1154,Aman Patel,58.0,62.58,4,10
1155,Rahul Gupta,56.0,66.64,4,19
1156,Kavita Yadav,96.0,77.99,17,30
1157,Akash Verma,57.0,99.33,3,30
1158,Priya Verma,40.0,90.55,17,21
1159,Akash Yadav,42.0,79.31,13,8
1160,Karan Sharma,90.0,74.39,10,4
1161,Kunal Sharma,,71.91,5,9
1162,Meena Patel,62.0,58.5,17,11
1163,Aditya Sharma,88.0,88.13,20,10
1164,Kunal Yadav,87.0,57.84,12,12
1165,Simran Verma,61.0,60.41,19,7
1166,Aman Patel,43.0,94.93,2,24
1167,Akash Sharma,84.0,74.22,2,1
1168,Anjali Patel,87.0,93.08,2,27
1169,Kavita Singh,63.0,88.55,17,24
1170,Lalit Patel,81.0,53.35,8,11
1171,Karan Gupta,90.0,79.23,19,29
1172,Rohit Patel,42.0,67.03,8,7
1173,Kavita Sharma,84.0,62.21,5,4
1174,Aman Sharma,52.0,74.11,13,20
1175,Kavita Sharma,66.0,62.51,8,19
1176,Nobita Gupta,54.0,66.43,0,25
1177,Simran Verma,56.0,72.13,0,5
1178,Nobita Yadav,77.0,77.08,8,16
1179,Simran Yadav,50.0,88.08,14,5
1180,Prince Verma,63.0,78.83,17,20
1181,Rahul Gupta,,97.19,3,21
1182,Prince Yadav,77.0,98.72,3,1
1183,Ritika Verma,,58.04,13,26
1184,Sneha Yadav,79.0,95.64,2,4
1185,Kavita Yadav,69.0,66.35,13,10
1186,Kavita Gupta,82.0,82.94,0,7
1187,Nobita Patel,40.0,70.52,14,30
1188,Harsh Singh,59.0,68.45,7,21
1189,Simran Gupta,42.0,90.12,16,25
1190,Vivek Gupta,64.0,87.66,11,11
1191,Meena Yadav,85.0,79.64,15,15
1192,Ritika Yadav,58.0,54.56,17,20
1193,Meena Yadav,94.0,54.3,6,17
1194,Kunal Patel,65.0,51.52,17,30
1195,Sartak Patel,88.0,92.51,7,29
1196,Rahul Verma,96.0,69.24,16,21
1197,Sneha Patel,59.0,64.62,16,27
1198,Lalit Yadav,98.0,96.39,17,25
1199,Ritika Patel,81.0,55.21,0,23
1200,Sahil Yadav,58.0,98.66,16,0
1201,Aman Gupta,65.0,94.77,15,5
1202,Simran Yadav,90.0,91.84,0,4
1203,Harsh Patel,62.0,89.72,3,4
1204,Prince Singh,41.0,61.37,1,26
1205,Kavita Yadav,83.0,58.58,15,29
1206,Kavita Yadav,98.0,81.32,8,23
1207,Harsh Sharma,98.0,93.24,14,11
1208,Anjali Verma,66.0,58.81,12,11
1209,Sahil Yadav,66.0,68.56,18,10
1210,Kavita Sharma,91.0,89.05,0,4
1211,Karan Verma,76.0,81.32,17,7
1212,Sartak Patel,49.0,94.03,15,6
1213,Sneha Sharma,55.0,50.1,16,9
1214,Kavita Gupta,75.0,64.77,3,11
1215,Nobita Yadav,71.0,92.25,2,12
1216,Lalit Singh,67.0,52.18,12,25
1217,Ankit Patel,73.0,77.62,6,24
1218,Raj Verma,91.0,73.28,6,9
1219,Akash Singh,77.0,72.05,15,14
1220,Priya Yadav,48.0,86.86,17,26
1221,Karan Yadav,,88.56,3,16
1222,Harsh Patel,82.0,74.85,15,25
1223,Kunal Patel,93.0,93.87,3,9
1224,Kunal Yadav,52.0,77.51,7,6
1225,Raj Sharma,45.0,50.43,10,10
1226,Nobita Singh,86.0,70.75,13,11
1227,Sahil Verma,52.0,50.93,14,29
1228,Priya Verma,94.0,52.01,18,5
1229,Sneha Gupta,77.0,77.22,2,16
1230,Raj Singh,90.0,93.95,5,1
1231,Sartak Yadav,,52.46,15,16
1232,Nobita Singh,49.0,89.49,13,8
1233,Aman Singh,95.0,97.05,11,17
1234,Sneha Singh,79.0,95.26,7,23
1235,Rahul Singh,49.0,67.63,18,16
1236,Sahil Verma,55.0,97.78,20,19
1237,Kavita Yadav,55.0,53.96,1,17
1238,Shichan Patel,87.0,82.19,6,7
1239,Sartak Verma,44.0,87.98,12,18
1240,Kavita Yadav,87.0,89.93,8,30
1241,Simran Yadav,60.0,54.57,20,1
1242,Rohit Gupta,53.0,65.27,17,21
1243,Meena Patel,82.0,78.58,20,5
1244,Vivek Singh,67.0,63.33,1,1
1245,Shichan Patel,59.0,83.51,1,6
1246,Harsh Gupta,89.0,85.3,13,14
1247,Aditya Patel,58.0,71.7,19,29
1248,Lalit Singh,94.0,80.65,4,1
1249,Karan Yadav,73.0,84.13,14,22
1250,Aman Yadav,69.0,81.8,9,12
1251,Krishna Yadav,77.0,72.15,9,16
1252,Meena Verma,66.0,50.41,10,28
1253,Anjali Verma,96.0,76.21,18,10
1254,Anjali Verma,80.0,52.93,11,19
1255,Kavita Patel,100.0,73.58,5,15
1256,Ankit Sharma,55.0,97.26,7,25
1257,Sahil Singh,,67.38,8,10
