Roll_No,Name,Result
1001,Simran Patel,70.0
1002,Aman Gupta,100.0
1003,Raj Gupta,47.0
1004,Priya Gupta,
1005,Anjali Sharma,66.0
1006,Meena Patel,56.0
1007,Krishna Yadav,51.0
1008,Shichan Singh,67.0
1009,Sartak Sharma,54.0
1010,Akash Yadav,73.0
1011,Shichan Singh,57.0
1012,Nobita Verma,52.0
1013,Prince Verma,96.0
1014,Rahul Verma,63.0
1015,Shichan Patel,87.0
1016,Rahul Singh,63.0
1017,Kavita Singh,
1018,Nobita Singh,85.0
1019,Anjali Yadav,79.0
1020,Sartak Gupta,92.0
1021,Sneha Gupta,46.0
1022,Meena Patel,56.0
1023,Shichan Yadav,46.0
1024,Akash Yadav,63.0
1025,Meena Sharma,65.0
1026,Ankit Patel,82.0
1027,Vivek Gupta,71.0
1028,Rahul Gupta,87.0
1029,Shichan Verma,60.0
1030,Lalit Yadav,57.0
1031,Aman Gupta,58.0
1032,Kunal Gupta,46.0
1033,Priya Verma,92.0
1034,Shichan Yadav,83.0
1035,Ritika Yadav,91.0
1036,Karan Singh,94.0
1037,Aditya Sharma,44.0
1038,Aman Sharma,55.0
1039,Meena Verma,68.0
1040,Raj Patel,81.0
1041,Sahil Singh,79.0
1042,Raj Patel,55.0
1043,Lalit Patel,42.0
1044,Anjali Verma,46.0
1045,Priya Yadav,59.0
1046,Vivek Verma,54.0
1047,Shichan Patel,90.0
1048,Krishna Sharma,85.0
1049,Rohit Patel,51.0
1050,Kunal Sharma,
1051,Krishna Sharma,57.0
1052,Kunal Yadav,73.0
1053,Meena Singh,69.0
1054,Simran Patel,45.0
1055,Meena Sharma,99.0
1056,Rahul Patel,76.0
1057,Aman Singh,78.0
1058,Meena Yadav,86.0
1059,Ankit Patel,44.0
1060,Sneha Sharma,74.0
1061,Sahil Patel,84.0
1062,Lalit Sharma,74.0
1063,Anjali Singh,95.0
1064,Rahul Singh,45.0
1065,Sneha Patel,87.0
1066,Sneha Singh,86.0
1067,Raj Yadav,77.0
1068,Rahul Singh,46.0
1069,Simran Patel,59.0
1070,Nobita Sharma,95.0
1071,Aman Sharma,45.0
1072,Meena Sharma,86.0
1073,Sneha Yadav,51.0
1074,Prince Verma,55.0
1075,Vivek Yadav,71.0
1076,Vivek Sharma,68.0
1077,Ankit Singh,71.0
1078,Krishna Yadav,77.0
1079,Rahul Yadav,95.0
1080,Krishna Patel,63.0
1081,Kavita Verma,92.0
1082,Vivek Singh,71.0
1083,Sahil Sharma,82.0
1084,Rohit Gupta,
1085,Akash Gupta,72.0
1086,Aman Verma,50.0
1087,Sartak Verma,
1088,Anjali Gupta,74.0
1089,Krishna Patel,65.0
1090,Meena Singh,43.0
1091,Nobita Verma,98.0
1092,Krishna Patel,64.0
1093,Harsh Patel,89.0
1094,Ritika Patel,44.0
1095,Simran Sharma,66.0
1096,Meena Singh,73.0
1097,Karan Sharma,70.0
1098,Karan Gupta,65.0
1099,Harsh Verma,
1100,Aman Singh,44.0
1101,Rahul Singh,
1102,Akash Yadav,83.0
1103,Karan Gupta,68.0
1104,Aditya Verma,87.0
1105,Nobita Verma,
1106,Anjali Singh,80.0
1107,Ankit Sharma,80.0
1108,Prince Patel,40.0
1109,Kavita Patel,52.0
1110,Sartak Verma,60.0
1111,Ankit Sharma,52.0
1112,Rohit Verma,70.0
1113,Krishna Yadav,81.0
1114,Aman Singh,66.0
1115,Harsh Patel,53.0
1116,Simran Singh,70.0
1117,Harsh Sharma,40.0
1118,Kunal Verma,69.0
1119,Simran Patel,41.0
1120,Raj Yadav,71.0
1121,Sneha Sharma,
1122,Aditya Patel,67.0
1123,Nobita Yadav,78.0
1124,Sartak Verma,60.0
1125,Harsh Sharma,
1126,Rahul Singh,51.0
1127,Vivek Patel,83.0
1128,Ritika Singh,79.0
1129,Aman Gupta,71.0
1130,Ankit Patel,74.0
1131,Priya Singh,88.0
1132,Shichan Yadav,60.0
1133,Aman Patel,45.0
1134,Akash Verma,77.0
1135,Kavita Gupta,96.0
1136,Sneha Gupta,49.0
1137,Shichan Yadav,54.0
1138,Aditya Gupta,81.0
1139,Harsh Patel,40.0
1140,Ankit Singh,67.0
1141,Krishna Verma,54.0
1142,Rohit Singh,52.0
1143,Sahil Verma,66.0
1144,Ankit Patel,82.0
1145,Rahul Sharma,90.0
1146,Vivek Patel,59.0
1147,Priya Sharma,80.0
1148,Kunal Sharma,45.0
1149,Akash Singh,71.0
1150,Sartak Sharma,41.0
1151,Sartak Verma,60.0
1152,Shichan Yadav,51.0
1153,Lalit Patel,68.0
1154,Lalit Patel,62.0
1155,Nobita Patel,76.0
1156,Nobita Sharma,96.0
1157,Anjali Patel,66.0
1158,Rahul Verma,81.0
1159,Nobita Singh,52.0
1160,Harsh Singh,96.0
1161,Lalit Singh,58.0
1162,Lalit Verma,67.0
1163,Kunal Gupta,41.0
1164,Ankit Gupta,41.0
1165,Krishna Patel,49.0
1166,Rohit Singh,44.0
1167,Krishna Gupta,51.0
1168,Sahil Gupta,47.0
1169,Ankit Singh,53.0
1170,Nobita Verma,59.0
1171,Aditya Yadav,65.0
1172,Priya Yadav,90.0
1173,Harsh Singh,49.0
1174,Sahil Sharma,97.0
1175,Ritika Yadav,61.0
1176,Lalit Singh,85.0
1177,Aditya Yadav,78.0
1178,Lalit Singh,
1179,Anjali Sharma,48.0
1180,Ankit Yadav,91.0
1181,Aditya Gupta,62.0
1182,Nobita Patel,82.0
1183,Shichan Patel,71.0
1184,Kunal Verma,83.0
1185,Simran Patel,77.0
1186,Krishna Gupta,96.0
1187,Akash Gupta,99.0
1188,Rahul Gupta,52.0
1189,Nobita Sharma,78.0
1190,Harsh Gupta,
1191,Rahul Sharma,91.0
1192,Sartak Gupta,55.0
1193,Sahil Verma,67.0
1194,Meena Sharma,94.0
1195,Ankit Patel,63.0
1196,Krishna Yadav,67.0
1197,Raj Singh,43.0
1198,Vivek Sharma,71.0
1199,Ritika Yadav,81.0
1200,Rohit Sharma,97.0
1201,Rohit Patel,51.0
1202,Ritika Sharma,65.0
1203,Meena Singh,
1204,Kavita Verma,87.0
1205,Nobita Yadav,67.0
1206,Simran Yadav,73.0
1207,Meena Gupta,71.0
1208,Sahil Gupta,97.0
1209,Aman Yadav,67.0
1210,Krishna Yadav,89.0
1211,Simran Gupta,
1212,Akash Patel,68.0
1213,Kavita Sharma,62.0
1214,Karan Sharma,83.0
1215,Aman Singh,71.0
1216,Kavita Singh,87.0
1217,Rahul Yadav,64.0
1218,Kavita Singh,92.0
1219,Sahil Verma,84.0
1220,Harsh Singh,82.0
1221,Raj Yadav,
1222,Raj Singh,87.0
1223,Nobita Yadav,76.0
1224,Harsh Verma,62.0
1225,Simran Singh,43.0
1226,Sahil Singh,91.0
1227,Raj Gupta,68.0
1228,Sartak Yadav,62.0
1229,Priya Gupta,64.0
1230,Aditya Singh,83.0
1231,Kavita Yadav,98.0
1232,Aditya Verma,44.0
1233,Rahul Yadav,93.0
1234,Rohit Sharma,70.0
1235,Nobita Verma,
1236,Akash Sharma,85.0
1237,Aditya Verma,58.0
1238,Sneha Verma,
1239,Sahil Verma,69.0
1240,Meena Yadav,80.0
1241,Sartak Gupta,
1242,Priya Verma,45.0
1243,Akash Patel,54.0
1244,Kunal Gupta,47.0
1245,Anjali Yadav,
1246,Ritika Verma,59.0
1247,Sahil Singh,88.0
1248,Shichan Patel,100.0
1249,Ankit Gupta,85.0
1250,Ankit Gupta,63.0
1251,Simran Singh,40.0
1252,Anjali Singh,61.0
1253,Sneha Singh,66.0
1254,Karan Yadav,
1255,Shichan Gupta,98.0
1256,Rahul Yadav,82.0
1257,Simran Yadav,67.0
1258,Akash Patel,81.0
1259,Kavita Patel,60.0
1260,Shichan Patel,91.0
1261,Shichan Sharma,59.0
1262,Ankit Yadav,48.0
1263,Nobita Singh,54.0
1264,Krishna Patel,99.0
1265,Anjali Sharma,74.0
1266,Kavita Patel,41.0
1267,Sneha Singh,
1268,Krishna Gupta,51.0
1269,Meena Sharma,97.0
1270,Raj Yadav,97.0
1271,Raj Singh,89.0
1272,Krishna Singh,49.0
1273,Lalit Gupta,61.0
1274,Karan Verma,51.0
1275,Anjali Gupta,91.0
1276,Simran Patel,79.0
1277,Shichan Sharma,96.0
1278,Rahul Singh,85.0
1279,Rahul Yadav,51.0
1280,Harsh Sharma,
1281,Shichan Gupta,82.0
1282,Harsh Verma,40.0
1283,Simran Yadav,59.0
1284,Prince Gupta,
1285,Harsh Patel,67.0
1286,Raj Yadav,100.0
1287,Priya Gupta,91.0
1288,Sahil Yadav,86.0
1289,Sahil Gupta,66.0
1290,Rohit Verma,40.0
1291,Aman Singh,49.0
1292,Lalit Patel,45.0
1293,Anjali Gupta,56.0
1294,Rohit Yadav,99.0
1295,Simran Patel,95.0
1296,Lalit Yadav,74.0
1297,Simran Singh,76.0
1298,Priya Patel,60.0
1299,Lalit Gupta,67.0
1300,Nobita Singh,53.0
1301,Simran Sharma,52.0
1302,Sahil Verma,86.0
1303,Krishna Yadav,44.0
1304,Sartak Singh,72.0
1305,Kunal Yadav,96.0
1306,Prince Gupta,46.0
1307,Sneha Singh,
1308,Sartak Verma,66.0
1309,Raj Sharma,62.0
1310,Sahil Patel,78.0
1311,Nobita Patel,
1312,Nobita Singh,61.0
1313,Simran Patel,
1314,Nobita Yadav,
1315,Ankit Singh,71.0
1316,Kunal Patel,69.0
1317,Akash Singh,84.0
1318,Kavita Sharma,59.0
1319,Krishna Gupta,
1320,Aditya Yadav,52.0
1321,Shichan Gupta,65.0
1322,Prince Yadav,48.0
1323,Karan Verma,71.0
1324,Anjali Singh,90.0
1325,Aditya Verma,77.0
1326,Rahul Sharma,70.0
1327,Priya Sharma,53.0
1328,Lalit Verma,89.0
1329,Prince Yadav,75.0
1330,Karan Patel,56.0
1331,Aditya Verma,84.0
1332,Aman Gupta,96.0
1333,Prince Verma,53.0
1334,Harsh Singh,81.0
1335,Sartak Yadav,57.0
1336,Kavita Sharma,44.0
1337,Kavita Verma,91.0
1338,Meena Gupta,75.0
1339,Priya Gupta,63.0
1340,Kavita Gupta,98.0
1341,Aditya Patel,97.0
1342,Prince Singh,57.0
1343,Akash Patel,75.0
1344,Harsh Patel,82.0
1345,Prince Yadav,97.0
1346,Rahul Verma,66.0
1347,Simran Gupta,65.0
1348,Ritika Patel,83.0
1349,Sartak Patel,
1350,Karan Verma,84.0
1351,Karan Singh,62.0
1352,Simran Singh,65.0
1353,Kunal Yadav,60.0
1354,Prince Patel,64.0
1355,Sartak Verma,49.0
1356,Karan Sharma,87.0
1357,Sartak Verma,46.0
1358,Prince Verma,65.0
1359,Rahul Patel,86.0
1360,Shichan Patel,81.0
1361,Kavita Yadav,69.0
1362,Rahul Singh,81.0
1363,Karan Verma,84.0
1364,Aditya Singh,44.0
1365,Sahil Verma,56.0
1366,Meena Gupta,90.0
1367,Lalit Sharma,74.0
1368,Akash Verma,65.0
1369,Meena Patel,50.0
1370,Rohit Patel,57.0
1371,Priya Verma,
1372,Meena Patel,73.0
1373,Rahul Gupta,97.0
1374,Akash Sharma,82.0
1375,Anjali Patel,54.0
1376,Aman Yadav,67.0
1377,Raj Verma,
1378,Rahul Patel,70.0
1379,Ritika Gupta,89.0
1380,Harsh Patel,62.0
1381,Sneha Patel,68.0
1382,Anjali Verma,
1383,Rohit Singh,93.0
1384,Ankit Verma,
1385,Karan Sharma,45.0
1386,Karan Singh,81.0
1387,Rohit Yadav,72.0
1388,Aman Verma,40.0
1389,Prince Gupta,41.0
1390,Sneha Singh,86.0
1391,Ritika Yadav,96.0
1392,Lalit Verma,97.0
1393,Raj Patel,42.0
1394,Harsh Singh,48.0
1395,Shichan Patel,81.0
1396,Anjali Gupta,47.0
1397,Ankit Singh,79.0
1398,Lalit Yadav,86.0
1399,Vivek Verma,71.0
1400,Ankit Sharma,58.0
1401,Rahul Sharma,41.0
1402,Harsh Patel,40.0
1403,Raj Gupta,59.0
1404,Kunal Patel,88.0
1405,Lalit Sharma,96.0
1406,Shichan Verma,48.0
1407,Krishna Singh,67.0
1408,Vivek Singh,92.0
1409,Karan Verma,46.0
1410,Raj Patel,68.0
1411,Aditya Verma,73.0
1412,Kavita Verma,93.0
1413,Akash Yadav,49.0
1414,Harsh Singh,81.0
1415,Sneha Sharma,
1416,Kavita Singh,91.0
1417,Karan Sharma,45.0
1418,Lalit Sharma,93.0
1419,Priya Gupta,98.0
1420,Aditya Singh,92.0
1421,Ritika Patel,99.0
1422,Simran Singh,59.0
1423,Aditya Yadav,53.0
1424,Sartak Verma,74.0
1425,Shichan Yadav,
1426,Kunal Verma,73.0
1427,Nobita Singh,47.0
1428,Sartak Gupta,67.0
1429,Simran Singh,
1430,Sahil Sharma,83.0
1431,Aman Gupta,46.0
1432,Krishna Gupta,43.0
1433,Nobita Patel,50.0
1434,Kavita Yadav,76.0
1435,Shichan Gupta,68.0
1436,Rohit Singh,44.0
1437,Aditya Singh,67.0
1438,Aman Gupta,96.0
1439,Aditya Gupta,63.0
1440,Rohit Singh,81.0
1441,Aditya Patel,91.0
1442,Sartak Verma,
1443,Sneha Verma,40.0
1444,Meena Singh,62.0
1445,Anjali Gupta,69.0
1446,Priya Verma,
1447,Shichan Patel,62.0
1448,Sneha Yadav,69.0
1449,Sartak Verma,43.0
1450,Aditya Yadav,76.0
1451,Krishna Singh,92.0
1452,Raj Yadav,88.0
1453,Lalit Verma,97.0
1454,Prince Yadav,100.0
1455,Simran Sharma,98.0
1456,Prince Patel,53.0
1457,Karan Gupta,89.0
1458,Sahil Singh,41.0
1459,Prince Sharma,56.0
1460,Raj Gupta,51.0
1461,Anjali Sharma,83.0
1462,Akash Yadav,74.0
1463,Aman Yadav,74.0
1464,Akash Verma,88.0
1465,Shichan Yadav,76.0
1466,Anjali Verma,58.0
1467,Kavita Gupta,53.0
1468,Sartak Patel,45.0
1469,Nobita Singh,66.0
1470,Karan Sharma,
1471,Nobita Verma,77.0
1472,Shichan Gupta,85.0
1473,Rohit Patel,86.0
1474,Prince Sharma,85.0
1475,Rohit Gupta,95.0
1476,Aman Sharma,96.0
1477,Nobita Gupta,68.0
1478,Sartak Verma,63.0
1479,Lalit Verma,53.0
1480,Kunal Singh,88.0
1481,Raj Gupta,97.0
1482,Kavita Patel,57.0
1483,Kunal Sharma,71.0
1484,Aditya Singh,
1485,Aman Gupta,
1486,Meena Sharma,52.0
1487,Raj Singh,
1488,Rohit Patel,81.0
1489,Aman Patel,46.0
1490,Nobita Singh,67.0
1491,Aditya Sharma,98.0
1492,Sahil Sharma,86.0
1493,Akash Sharma,74.0
1494,Karan Verma,
1495,Akash Yadav,73.0
1496,Raj Verma,
1497,Rohit Verma,73.0
1498,Priya Patel,85.0
1499,Shichan Verma,65.0
1500,Rohit Yadav,80.0
1501,Rahul Gupta,71.0
1502,Lalit Singh,59.0
1503,Harsh Yadav,97.0
1504,Karan Yadav,48.0
1505,Sartak Sharma,89.0
1506,Raj Yadav,
1507,Kunal Patel,83.0
1508,Priya Singh,88.0
1509,Kunal Yadav,80.0
1510,Priya Patel,54.0
1511,Priya Gupta,
1512,Rohit Verma,94.0
1513,Krishna Singh,95.0
1514,Aman Patel,53.0
1515,Karan Singh,41.0
1516,Rohit Singh,42.0
1517,Sneha Sharma,66.0
1518,Krishna Singh,64.0
1519,Harsh Gupta,72.0
1520,Kavita Patel,93.0
1521,Raj Gupta,90.0
1522,Sartak Gupta,83.0
1523,Harsh Gupta,75.0
1524,Akash Gupta,100.0
1525,Prince Yadav,81.0
1526,Prince Sharma,46.0
1527,Akash Patel,42.0
1528,Lalit Verma,47.0
1529,Vivek Verma,89.0
1530,Kavita Sharma,65.0
1531,Lalit Patel,50.0
1532,Krishna Patel,41.0
1533,Rahul Singh,42.0
1534,Rahul Singh,
1535,Ritika Yadav,42.0
1536,Karan Sharma,65.0
1537,Simran Verma,77.0
1538,Nobita Sharma,71.0
1539,Krishna Singh,48.0
1540,Lalit Sharma,
1541,Priya Patel,86.0
1542,Sneha Gupta,82.0
1543,Harsh Sharma,89.0
1544,Aditya Singh,48.0
1545,Shichan Yadav,57.0
1546,Rohit Patel,96.0
1547,Meena Patel,81.0
1548,Krishna Sharma,66.0
1549,Karan Patel,
1550,Anjali Singh,92.0
1551,Akash Verma,93.0
1552,Sahil Singh,48.0
1553,Sneha Singh,64.0
1554,Vivek Sharma,49.0
1555,Meena Gupta,
1556,Anjali Verma,91.0
1557,Nobita Yadav,80.0
1558,Kunal Patel,71.0
1559,Sahil Yadav,77.0
1560,Akash Gupta,92.0
1561,Harsh Sharma,50.0
1562,Lalit Patel,84.0
1563,Sahil Singh,56.0
1564,Krishna Sharma,69.0
1565,Harsh Verma,73.0
1566,Rohit Sharma,45.0
1567,Priya Singh,
1568,Prince Sharma,97.0
1569,Vivek Gupta,55.0
1570,Priya Patel,79.0
1571,Rahul Patel,55.0
1572,Aditya Singh,96.0
1573,Anjali Yadav,92.0
1574,Sartak Patel,
1575,Lalit Yadav,64.0
1576,Sneha Patel,57.0
1577,Karan Patel,60.0
1578,Priya Singh,60.0
1579,Meena Yadav,48.0
1580,Meena Yadav,65.0
1581,Raj Yadav,92.0
1582,Nobita Verma,60.0
1583,Karan Yadav,95.0
1584,Raj Sharma,53.0
1585,Rahul Sharma,52.0
1586,Krishna Sharma,
1587,Ankit Yadav,73.0
1588,Krishna Sharma,46.0
1589,Ritika Patel,44.0
1590,Rahul Verma,77.0
1591,Priya Sharma,79.0
1592,Sneha Yadav,71.0
1593,Kavita Yadav,67.0
1594,Shichan Patel,70.0
1595,Aditya Yadav,55.0
1596,Shichan Gupta,70.0
1597,Anjali Sharma,84.0
1598,Kavita Verma,89.0
1599,Aditya Sharma,54.0
1600,Sneha Sharma,
1601,Simran Sharma,47.0
1602,Vivek Yadav,83.0
1603,Kavita Singh,56.0
1604,Sartak Gupta,53.0
1605,Vivek Sharma,73.0
1606,Karan Yadav,72.0
1607,Rohit Verma,58.0
1608,Nobita Singh,70.0
1609,Raj Sharma,56.0
1610,Prince Yadav,48.0
1611,Akash Verma,76.0
1612,Krishna Singh,82.0
1613,Prince Sharma,46.0
1614,Vivek Verma,44.0
1615,Simran Verma,77.0
1616,Sneha Gupta,94.0
1617,Ritika Sharma,57.0
1618,Ritika Sharma,86.0
1619,Priya Patel,63.0
1620,Prince Gupta,82.0
1621,Shichan Gupta,86.0
1622,Harsh Verma,46.0
1623,Akash Sharma,66.0
1624,Prince Gupta,96.0
1625,Simran Gupta,97.0
1626,Simran Gupta,54.0
1627,Priya Sharma,93.0
1628,Rohit Gupta,56.0
1629,Priya Verma,81.0
1630,Priya Gupta,
1631,Vivek Singh,69.0
1632,Ritika Yadav,53.0
1633,Anjali Yadav,80.0
1634,Raj Patel,93.0
1635,Aditya Gupta,69.0
1636,Priya Sharma,75.0
1637,Vivek Yadav,87.0
1638,Prince Sharma,95.0
1639,Raj Gupta,52.0
1640,Aditya Gupta,46.0
1641,Ritika Verma,89.0
1642,Simran Yadav,85.0
1643,Krishna Gupta,76.0
1644,Rohit Yadav,51.0
1645,Akash Sharma,65.0
1646,Lalit Singh,54.0
1647,Rohit Sharma,
1648,Karan Yadav,43.0
1649,Nobita Sharma,
1650,Ankit Singh,98.0
1651,Sneha Verma,88.0
1652,Karan Singh,83.0
1653,Sartak Gupta,85.0
1654,Ankit Gupta,83.0
1655,Priya Yadav,73.0
1656,Sahil Verma,95.0
1657,Priya Verma,54.0
1658,Harsh Verma,65.0
1659,Rahul Sharma,60.0
1660,Ankit Singh,44.0
1661,Lalit Yadav,49.0
1662,Nobita Singh,97.0
1663,Priya Sharma,56.0
1664,Aman Verma,81.0
1665,Anjali Yadav,60.0
1666,Simran Yadav,40.0
1667,Simran Verma,57.0
1668,Rohit Gupta,92.0
1669,Rohit Verma,90.0
1670,Sartak Verma,82.0
1671,Vivek Patel,48.0
1672,Priya Yadav,
1673,Sartak Sharma,67.0
1674,Shichan Singh,99.0
1675,Harsh Sharma,74.0
1676,Krishna Singh,88.0
1677,Anjali Gupta,83.0
1678,Ritika Verma,84.0
1679,Kunal Sharma,76.0
1680,Anjali Singh,85.0
1681,Karan Gupta,73.0
1682,Vivek Patel,43.0
1683,Prince Sharma,42.0
1684,Akash Yadav,73.0
1685,Sahil Yadav,83.0
1686,Sartak Singh,42.0
1687,Sartak Patel,87.0
1688,Kavita Gupta,60.0
1689,Sahil Patel,89.0
1690,Harsh Patel,51.0
1691,Raj Verma,93.0
1692,Aman Verma,76.0
1693,Aditya Singh,43.0
1694,Karan Verma,
1695,Karan Singh,61.0
1696,Sartak Verma,59.0
1697,Nobita Singh,81.0
1698,Aditya Gupta,94.0
1699,Krishna Gupta,
1700,Aditya Yadav,59.0
1701,Akash Yadav,79.0
1702,Aditya Patel,78.0
1703,Ritika Singh,87.0
1704,Anjali Gupta,97.0
1705,Krishna Patel,79.0
1706,Ritika Patel,40.0
1707,Rohit Singh,80.0
1708,Sartak Yadav,81.0
1709,Krishna Gupta,54.0
1710,Ankit Singh,
1711,Anjali Patel,
1712,Ankit Singh,53.0
1713,Priya Yadav,90.0
1714,Akash Gupta,54.0
1715,Ankit Yadav,53.0
1716,Prince Sharma,93.0
1717,Aman Patel,99.0
1718,Ankit Sharma,73.0
1719,Aditya Patel,96.0
1720,Aditya Patel,96.0
1721,Raj Gupta,65.0
1722,Raj Yadav,92.0
1723,Anjali Yadav,52.0
1724,Aditya Sharma,
1725,Simran Gupta,70.0
1726,Nobita Singh,81.0
1727,Ritika Gupta,64.0
1728,Vivek Yadav,47.0
1729,Sartak Verma,77.0
1730,Lalit Singh,55.0
1731,Ritika Verma,66.0
1732,Karan Sharma,54.0
1733,Krishna Verma,70.0
1734,Ritika Gupta,46.0
1735,Shichan Yadav,73.0
1736,Ankit Verma,88.0
1737,Sahil Singh,94.0
1738,Sneha Yadav,46.0
1739,Rohit Sharma,78.0
1740,Meena Gupta,66.0
1741,Sahil Gupta,59.0
1742,Raj Patel,83.0
1743,Aman Patel,49.0
1744,Nobita Patel,80.0
1745,Prince Patel,97.0
1746,Krishna Yadav,97.0
1747,Sneha Gupta,61.0
1748,Karan Yadav,64.0
1749,Ritika Singh,57.0
1750,Raj Sharma,77.0
1751,Aman Patel,46.0
1752,Ankit Yadav,70.0
1753,Shichan Gupta,87.0
1754,Kavita Yadav,
1755,Kavita Singh,
1756,Aman Verma,86.0
1757,Meena Verma,74.0
1758,Prince Gupta,54.0
1759,Priya Singh,83.0
1760,Rahul Gupta,78.0
1761,Rohit Yadav,58.0
1762,Rahul Gupta,43.0
1763,Krishna Sharma,41.0
1764,Shichan Singh,48.0
1765,Sartak Verma,
1766,Prince Verma,86.0
1767,Anjali Sharma,77.0
1768,Akash Patel,48.0
1769,Kavita Patel,
1770,Sneha Singh,81.0
1771,Priya Sharma,69.0
1772,Akash Yadav,47.0
1773,Krishna Singh,89.0
1774,Kunal Sharma,44.0
1775,Ankit Singh,53.0
1776,Kunal Yadav,79.0
1777,Kunal Verma,77.0
1778,Akash Yadav,77.0
1779,Anjali Sharma,50.0
1780,Rohit Yadav,96.0
1781,Aman Gupta,88.0
1782,Aman Singh,84.0
1783,Karan Singh,55.0
1784,Harsh Yadav,64.0
1785,Rohit Gupta,89.0
1786,Ankit Patel,43.0
1787,Kunal Verma,83.0
1788,Kunal Patel,49.0
1789,Harsh Sharma,87.0
1790,Akash Verma,71.0
1791,Simran Gupta,70.0
1792,Raj Singh,42.0
1793,Meena Gupta,75.0
1794,Priya Verma,72.0
1795,Rahul Yadav,58.0
1796,Sneha Patel,61.0
1797,Prince Singh,
1798,Raj Verma,63.0
1799,Anjali Sharma,42.0
1800,Ritika Patel,84.0
1801,Aman Verma,87.0
1802,Rahul Gupta,93.0
1803,Akash Patel,65.0
1804,Aditya Sharma,84.0
1805,Sahil Sharma,92.0
1806,Kunal Sharma,55.0
1807,Ritika Singh,84.0
1808,Ankit Sharma,99.0
1809,Krishna Sharma,88.0
1810,Anjali Singh,54.0
1811,Rahul Yadav,61.0
1812,Meena Yadav,75.0
1813,Rohit Sharma,82.0
1814,Sneha Sharma,58.0
1815,Krishna Patel,82.0
1816,Karan Gupta,44.0
1817,Harsh Gupta,69.0
1818,Harsh Gupta,66.0
1819,Aditya Sharma,52.0
1820,Ankit Verma,45.0
1821,Aditya Patel,75.0
1822,Sahil Singh,87.0
1823,Rohit Yadav,
1824,Shichan Yadav,72.0
1825,Kunal Patel,56.0
1826,Rahul Gupta,50.0
1827,Karan Patel,66.0
1828,Simran Verma,
1829,Rahul Patel,58.0
1830,Vivek Sharma,
1831,Prince Verma,86.0
1832,Raj Singh,74.0
1833,Kavita Verma,
1834,Priya Singh,81.0
1835,Nobita Gupta,
1836,Ankit Gupta,78.0
1837,Sneha Singh,78.0
1838,Ritika Yadav,77.0
1839,Priya Gupta,48.0
1840,Aditya Sharma,86.0
1841,Akash Yadav,48.0
1842,Ritika Gupta,45.0
1843,Sneha Sharma,72.0
1844,Rohit Yadav,44.0
1845,Harsh Singh,59.0
1846,Aman Sharma,44.0
1847,Sneha Verma,82.0
1848,Vivek Singh,87.0
1849,Krishna Patel,77.0
1850,Aditya Gupta,56.0
1851,Ritika Singh,40.0
1852,Rohit Sharma,52.0
1853,Aman Gupta,70.0
1854,Krishna Singh,
1855,Priya Yadav,
1856,Akash Singh,87.0
1857,Aman Singh,99.0
1858,Kavita Yadav,58.0
1859,Anjali Verma,79.0
1860,Sartak Verma,64.0
1861,Anjali Patel,44.0
1862,Aman Yadav,62.0
1863,Meena Yadav,43.0
1864,Raj Sharma,82.0
1865,Priya Singh,74.0
1866,Kunal Singh,64.0
1867,Kavita Gupta,59.0
1868,Nobita Patel,77.0
1869,Simran Yadav,
1870,Raj Yadav,53.0
1871,Sneha Patel,85.0
1872,Sahil Singh,91.0
1873,Simran Singh,59.0
1874,Shichan Singh,78.0
1875,Harsh Singh,64.0
1876,Rohit Singh,54.0
1877,Karan Verma,58.0
1878,Meena Yadav,
1879,Meena Sharma,77.0
1880,Kunal Verma,
1881,Priya Gupta,70.0
1882,Harsh Patel,78.0
1883,Sahil Yadav,
1884,Shichan Verma,79.0
1885,Meena Gupta,44.0
1886,Raj Yadav,87.0
1887,Sahil Gupta,50.0
1888,Meena Yadav,98.0
1889,Karan Gupta,80.0
1890,Aman Yadav,47.0
1891,Lalit Sharma,97.0
1892,Ankit Singh,70.0
1893,Krishna Sharma,
1894,Anjali Verma,50.0
1895,Raj Gupta,49.0
1896,Karan Gupta,93.0
1897,Prince Singh,48.0
1898,Simran Gupta,95.0
1899,Kavita Yadav,69.0
1900,Simran Patel,65.0
1901,Ankit Gupta,60.0
1902,Nobita Yadav,
1903,Akash Gupta,95.0
1904,Prince Sharma,
1905,Lalit Gupta,51.0
1906,Karan Gupta,99.0
1907,Rohit Verma,40.0
1908,Rohit Gupta,92.0
1909,Akash Gupta,45.0
1910,Sneha Verma,47.0
1911,Krishna Patel,78.0
1912,Sahil Verma,68.0
1913,Vivek Singh,86.0
1914,Karan Sharma,93.0
1915,Sneha Yadav,68.0
1916,Sahil Singh,84.0
1917,Ankit Sharma,73.0
1918,Anjali Patel,71.0
1919,Akash Singh,86.0
1920,Simran Gupta,81.0
1921,Krishna Gupta,46.0
1922,Priya Sharma,73.0
1923,Kavita Sharma,68.0
1924,Aman Singh,64.0
1925,Meena Verma,62.0
1926,Nobita Singh,80.0
1927,Priya Verma,96.0
1928,Prince Gupta,93.0
1929,Ritika Verma,92.0
1930,Aman Sharma,56.0
1931,Sartak Gupta,
1932,Sahil Sharma,89.0
1933,Prince Yadav,46.0
1934,Aman Yadav,72.0
1935,Simran Sharma,78.0
1936,Akash Patel,
1937,Anjali Gupta,75.0
1938,Sneha Patel,53.0
1939,Akash Singh,
